MoSCoW,SCRUM ID,Епік,Функціонал / User Story,Обґрунтування,Est (год),MVP?
M,SCRUM-26,OPS—ОПЕР,Cron dispatch-timeout — ескалація кожні 2 хвилини,"Без моніторингу прострочені замовлення залишаться непоміченими. Порушення SLA.",6.7,✅ MVP
M,SCRUM-27,ADMIN—П,Admin Dashboard — таблиця замовлень + Realtime,"Адмін повинен бачити всі замовлення. Без цього — сліпота і ручні помилки.",11.0,✅ MVP
M,SCRUM-29,ADMIN—П,Escalation alert — needs_attention + виділення в дашборді,"Без виділення проблемних замовлень адмін не реагує вчасно. SLA під загрозою.",4.7,✅ MVP
MUST HAVE Разом,,,,,"180.3 год · 23 задачі",
,,,,,,
SHOULD HAVE — Важливо але MVP може запуститись без цього,,,,,,
S,SCRUM-10,SHOP—МАГ,AI Finder — wizard (6 отримувачів × 5 приводів = 30 комбінацій),"Підвищує конверсію для клієнтів які не знають що обрати. Без нього — просто переглядають каталог.",8.7,🔜 v1.1
S,SCRUM-17,SHOP—МАГ,PWA — manifest + Service Worker + offline + Install Banner,"Покращує мобільний UX і повторні замовлення. Клієнти можуть замовляти і через браузер.",8.7,🔜 v1.1
S,SCRUM-23,OPS—ОПЕР,WhatsApp webhook — прийом фото від кур'єра,"Фото підтвердження підвищує довіру клієнта. Без нього статус 'delivered' виставляється вручну.",9.0,🔜 v1.1
S,SCRUM-24,OPS—ОПЕР,Фото → Supabase Storage + статус delivered + WA клієнту,"Автоматичне закриття замовлення з фото. Можна робити вручну через адмінку тимчасово.",6.7,🔜 v1.1
S,SCRUM-25,OPS—ОПЕР,Cron nameday-reminders (щоденно о 09:00 + WA клієнту),"Маркетинговий інструмент. Підвищує повторні продажі. Не блокує core flow.",6.7,🔜 v1.1
S,SCRUM-28,ADMIN—П,Admin — ручна зміна статусу + переназначення кур'єра,"Потрібно для edge cases. Без цього при збоях адмін безпорадний. Але рідкісна ситуація.",8.7,🔜 v1.1
S,SCRUM-38,ADMIN—П,CRUD каталогу + завантаження фото (Supabase Storage) + soft-delete,"Без CRUD адмін змінює каталог через Supabase Dashboard. Незручно але можливо.",11.0,🔜 v1.1
S,SCRUM-45,TEST—ТЕС,Unit тести Vitest × 16 (isOddFlowerCount + EUR/BGN + Haversine + routing),"Критичні бізнес-правила повинні бути покриті тестами. Без тестів — регресії в prod.",6.7,🔜 v1.1
S,SCRUM-47,TEST—ТЕС,Integration тест — POST /api/orders (повний flow),"Основний API маршрут повинен мати тест. Захист від регресій при змінах.",11.0,🔜 v1.1
S,SCRUM-50,SEO—ПОИ,Метадані + Open Graph + Schema.org LocalBusiness (Бургас),"SEO важливий для органічного трафіку. Але не блокує роботу платформи в день запуску.",6.7,🔜 v1.1
S,SCRUM-51,SEO—ПОИ,Sitemap.xml + robots.txt,"Потрібен для індексації Google. Не критично в перший день запуску.",4.3,🔜 v1.1
S,SCRUM-53,SEO—ПОИ,Privacy Policy + Terms of Service + Cookie Consent (GDPR),"Юридичний обов'язок при роботі з EU клієнтами. Важливо але може бути статичною сторінкою.",6.7,🔜 v1.1
SHOULD HAVE Разом,,,,,"94.9 год · 12 задач",
,,,,,,
COULD HAVE — Цінно але низький вплив якщо відкласти,,,,,,
C,SCRUM-30,AI—ИИ АГЕ,Інструменти агентів (getFinancialSummary + getCourierEarnings + getHubPerformance),"Потрібні тільки якщо є агенти. Цінно для власника але не для клієнта.",13.3,💡 v2.0
C,SCRUM-37,ADMIN—П,Перегляд AI-звітів в панелі Admin,"Зручно але адмін може читати звіти через email/WA. Не блокує операційну роботу.",8.7,💡 v2.0
C,SCRUM-41,AI—ИИ АГЕ,Агент-бухгалтер (Claude claude-opus-4-8 + болгарські податки 10%/20%),"Цінно для власника. Але бухгалтер реальний може робити це перший рік.",14.7,💡 v2.0
C,SCRUM-42,AI—ИИ АГЕ,Агент-юрист (оптимізація ЕООД/ЄТ/ГД структур),"Стратегічна цінність але не операційна необхідність для MVP.",13.0,💡 v2.0
C,SCRUM-43,AI—ИИ АГЕ,Агент-маркетолог (метрики конверсії + A/B ідеї),"Корисно після накопичення даних. Немає сенсу на старті — мало замовлень для аналізу.",12.3,💡 v2.0
C,SCRUM-44,AI—ИИ АГЕ,Cron jobs для 3 агентів + збереження agent_reports,"Залежить від SCRUM-41/42/43. Відкладається разом з ними.",8.7,💡 v2.0
C,SCRUM-48,TEST—ТЕС,Integration тест — Stripe webhook idempotency,"Важливий тест але Stripe сам по собі надійний. Можна додати після MVP.",11.0,💡 v2.0
C,SCRUM-49,TEST—ТЕС,Integration тест — WhatsApp webhook routing,"Важливий для регресій але не блокує перший запуск якщо є ручне тестування.",8.7,💡 v2.0
C,SCRUM-39,SEO—ПОИ,Google Business Profile (Бургас локальний SEO),"Дає локальний трафік. Але вимагає верифікацію листом — може зайняти тижні.",4.3,💡 v2.0
C,SCRUM-52,SEO—ПОИ,Instagram контент (фото + тексти + хештеги),"Маркетинг. Цінно для трафіку але не технічний продукт.",6.3,💡 v2.0
COULD HAVE Разом,,,,,"101.0 год · 10 задач",
,,,,,,
WON'T HAVE — Не в цьому релізі,,,,,,
W,SCRUM-36,AI—ИИ АГЕ,Заповнення knowledge_documents (20+ юр/бух/маркетинг документів),"Без агентів (COULD HAVE) — база знань марна. Контент-робота що займає багато часу без прямого ROI.",13.3,❌ Out
W,SCRUM-40,TEST—ТЕС,E2E Playwright — повний flow checkout → Stripe → Hub → фото → delivered,"Найдорожчий тест (16 год). Нестабільний на зовнішніх сервісах (Stripe/WA). Ручний smoke test достатній для MVP.",16.0,❌ Out
W,SCRUM-46,GTM—ЗАП,Підключити перший Hub — навчання флориста + тест flow,"Операційна задача, не технічна. Виконується після деплою, не під час розробки.",6.7,❌ Out
W,SCRUM-55,GTM—ЗАП,Onboarding кур'єрів (3-5 осіб) + тест broadcast dispatch,"Аналогічно: операційна задача. Не входить в розробку.",6.7,❌ Out
W,SCRUM-54,GTM—ЗАП,Go-live checklist (7 воріт безпеки),"Процедурний документ. Виконується прямо перед запуском, не під час спринтів.",8.7,❌ Out
W,SCRUM-56-64,DESIGN—ДИ,Figma wireframes для всіх 9 сторінок + Design System,"Figma — передумова розробки, не її частина. Має бути готова ДО спринтів як окрема фаза.",69.5,❌ Pre-dev
WON'T HAVE Разом,,,,,"120.9 год · 6 позицій",
,,,,,,
ПІДСУМОК MOSCOW,,,,,,
Must Have (M),23 задачі,,,,"180.3 год","✅ MVP SCOPE"
Should Have (S),12 задач,,,,"94.9 год","🔜 v1.1"
Could Have (C),10 задач,,,,"101.0 год","💡 v2.0"
Won't Have (W),6 позицій,,,,"120.9 год","❌ Out of scope"
ВСЬОГО,51 задача,,,,"497.1 год",
,,,,,,
MVP SCOPE DEFINITION,,,,,,
MVP = Must Have задачі,"23 задачі · 180.3 годин · 22.5 людино-дні · ~1.1 місяці","Основний flow: Клієнт → Каталог → Checkout → Stripe → Hub → Florist WA → Courier → Admin Dashboard",,,,
