Issue Type,Summary,Description,Priority,Epic Name,Labels,Story Points,Sprint,Status,Fix Version
Task,GitHub Actions CI: tsc + vitest + next build на кожен PR,,High,ІНФРАСТРУКТУРА — Технічна база,MVP,3,Sprint 2,Done,v2.0 Growth
Task,Vitest: 16 unit тестів (isOddFlowerCount + EUR/BGN + Haversine + routing),,High,ІНФРАСТРУКТУРА — Технічна база,MVP,5,Sprint 2,Done,v2.0 Growth
Task,PIN-аутентифікація + rate-limit 5/15хв + crypto.timingSafeEqual,,High,ІНФРАСТРУКТУРА — Технічна база,Security,3,Sprint 1,Done,v1.0 MVP
Task,Middleware: захист /admin/* та /hub/*,,High,ІНФРАСТРУКТУРА — Технічна база,Security,2,Sprint 1,Done,v1.0 MVP
Task,SEO: метадані + Schema.org + sitemap.xml,,Medium,ІНФРАСТРУКТУРА — Технічна база,SEO,2,Sprint 2,Done,v2.0 Growth
Task,Юридичні сторінки: Privacy Policy + Terms + Cookies (GDPR),,Medium,ІНФРАСТРУКТУРА — Технічна база,Legal,2,Sprint 2,Done,v2.0 Growth
Task,E2E тест (Playwright): checkout → Stripe → Hub → кур'єр → фото,,Highest,ІНФРАСТРУКТУРА — Технічна база,Testing,8,Sprint 3,To Do,v3.0 Scale
Task,Backfill ембедингів knowledge_documents (OpenAI text-embedding-3-small),,Medium,УПРАВЛІННЯ — Адмін та AI,AI,2,Sprint 3,To Do,v3.0 Scale
Task,Vercel: production deploy + ENV vars + домен kissmyflowers.bg,,Highest,ІНФРАСТРУКТУРА — Технічна база,Deploy,5,Sprint 3,To Do,v3.0 Scale
Task,Meta Business: реєстрація + 8 WhatsApp шаблонів (24-48ч approval),,Highest,ІНФРАСТРУКТУРА — Технічна база,Deploy,3,Sprint 3,To Do,v3.0 Scale
Task,Stripe: перехід з test на live ключі,,High,ІНФРАСТРУКТУРА — Технічна база,Deploy,2,Sprint 3,To Do,v3.0 Scale
Task,Supabase production проект + 10 міграцій,,High,ІНФРАСТРУКТУРА — Технічна база,Deploy,3,Sprint 3,To Do,v3.0 Scale
Task,Google Business Profile (Бургас локальний SEO),,Low,ІНФРАСТРУКТУРА — Технічна база,SEO,1,Sprint 3,To Do,v3.0 Scale
