ID,Фаза,Назва User Story / Задачі,O (Оптимістична),M (Найімовірніша),P (Песимістична),E = (O+4M+P)/6,SD = (P-O)/6
US-04b,2. Клієнтська частина,Stripe Webhook обробник — idempotency key + автоматичне призначення хабу після оплати,6,10,20,11.0,2.3
US-04c,2. Клієнтська частина,Сторінка Success після оплати — деталі замовлення + очікуваний час,4,4,8,4.7,0.7
US-05a,2. Клієнтська частина,WhatsApp шаблон: підтвердження замовлення (< 30 с після оплати),4,5,10,5.7,1.0
US-05b,2. Клієнтська частина,WhatsApp шаблон: кур'єр у дорозі (ім'я + очікуваний час),4,4,8,4.7,0.7
US-05c,2. Клієнтська частина,WhatsApp шаблон: доставлено — текст + фото підтвердження,4,4,8,4.7,0.7
US-11a,2. Клієнтська частина,Форма збереження іменинників клієнта в БД (ім'я + дата),4,4,8,4.7,0.7
US-11b,2. Клієнтська частина,Cron-job nameday-reminders — щоденно о 09:00 + WA з кнопкою Замовити,4,6,12,6.7,1.3
US-15a,2. Клієнтська частина,PWA manifest.json — іконки + назва + кольори + display: standalone,4,4,8,4.7,0.7
US-15b,2. Клієнтська частина,Service Worker + кеш каталогу (offline-first для повторних відвідувань),4,6,12,6.7,1.3
US-15c,2. Клієнтська частина,Банер Install App — показується після 2-го відвідування (localStorage лічильник),4,4,6,4.3,0.3
US-06a,3. Флорист / Hub,WhatsApp повідомлення флористу — склад букета + адреса + час + кнопки Accept/Reject,4,8,16,8.7,2.0
US-06b,3. Флорист / Hub,Логіка 5-хвилинного таймауту + автопереключення замовлення на наступний хаб,6,10,20,11.0,2.3
US-06c,3. Флорист / Hub,Алгоритм маршрутизації (Haversine + сортування хабів за відстанню) в lib/order-routing.ts,4,8,16,8.7,2.0
US-12a,3. Флорист / Hub,Hub дашборд — Supabase Realtime підписка + відображення замовлень без перезавантаження,8,12,24,13.3,2.7
US-12b,3. Флорист / Hub,Кольорова пріоритизація статусів замовлень в Hub дашборді (pending / accepted / dispatched),4,4,8,4.7,0.7
US-07a,4. Кур'єр,Broadcast dispatch — одночасна відправка WA всім кур'єрам зони,6,10,20,11.0,2.3
US-07b,4. Кур'єр,First-wins атомарний запис (захист від race condition при одночасному прийнятті),6,10,20,11.0,2.3
US-07c,4. Кур'єр,Зворотний зв'язок "Вже зайнято" — WA відповідь відхиленим кур'єрам,4,4,6,4.3,0.3
US-08a,4. Кур'єр,WhatsApp webhook — прийом медіа (фото) від кур'єра,6,8,16,9.0,1.7
US-08b,4. Кур'єр,Збереження фото доставки в Supabase Storage (bucket product-images + прив'язка до замовлення),4,6,12,6.7,1.3
US-08c,4. Кур'єр,Автозміна статусу на delivered + WA клієнту з фото (< 1 хвилини),4,6,10,6.3,1.0
US-09a,5. Адміністратор,Таблиця замовлень з фільтрами — статус / хаб / дата + пошук по ID,6,10,20,11.0,2.3
US-09b,5. Адміністратор,Realtime оновлення Admin дашборду без перезавантаження (Supabase Realtime),4,8,16,8.7,2.0
US-09c,5. Адміністратор,Ручна зміна статусу замовлення + переназначення кур'єра вручну,4,8,16,8.7,2.0
US-10a,5. Адміністратор,Список продуктів каталогу з active/inactive тоглом (soft-delete: active=false),4,6,12,6.7,1.3
US-10b,5. Адміністратор,Форма додавання/редагування букета — назва + ціна + теги + валідація непарних квітів,6,10,20,11.0,2.3
US-10c,5. Адміністратор,Завантаження фото товару в Supabase Storage — JPEG/PNG/WebP макс 5 МБ + preview,6,10,20,11.0,2.3
US-13a,5. Адміністратор,Cron dispatch-timeout — перевірка прострочених замовлень кожні 2 хвилини,4,6,12,6.7,1.3
US-13b,5. Адміністратор,WhatsApp сповіщення адміну — ID замовлення + адреса + кількість спроб хабів,4,6,10,6.3,1.0
US-13c,5. Адміністратор,Статус needs_attention + кольорове виділення в Admin дашборді,4,4,8,4.7,0.7
US-14a,6. AI Агенти,Інструменти агентів — getFinancialSummary + getCourierEarnings + getHubPerformance + getOrderMetrics,8,12,24,13.3,2.7
US-14b,6. AI Агенти,Агент-бухгалтер — Claude claude-opus-4-8 + tool-use loop + болгарські податки + звіт + WA,8,14,24,14.7,2.7
US-14c,6. AI Агенти,Агент-юрист — Claude claude-opus-4-8 + аналіз структури ЕООД/ЄТ/ГД + правові рекомендації,6,12,24,13.0,3.0
US-14d,6. AI Агенти,Агент-маркетолог — Claude claude-opus-4-8 + метрики конверсії + топ-продукти + A/B ідеї,6,12,20,12.3,2.3
US-14e,6. AI Агенти,pgvector RAG база знань — embedding setup + наповнення knowledge_documents (20+ документів),8,12,24,13.3,2.7
US-14f,6. AI Агенти,Cron jobs для 3 агентів (1-го/15-го/щопонеділка) + збереження в agent_reports + WA адміну,4,8,16,8.7,2.0
SEO-01,7. SEO та Юридичні,Метадані + Open Graph + Schema.org LocalBusiness (Бургас) — всі сторінки,4,6,12,6.7,1.3
SEO-02,7. SEO та Юридичні,Sitemap.xml + robots.txt (автогенерація Next.js),4,4,6,4.3,0.3
LEGAL-01,7. SEO та Юридичні,Сторінки Privacy Policy + Terms of Service + Cookies Banner (GDPR-compliant),4,6,12,6.7,1.3
QA-01,8. Тестування і QA,Unit тести — isOddFlowerCount (парна/непарна) + EUR↔BGN конвертація (курс 1.95583),4,5,10,5.7,1.0
QA-02,8. Тестування і QA,Unit тести — Haversine відстань + hub routing logic (3 зони Бургаса),4,6,12,6.7,1.3
QA-03,8. Тестування і QA,Unit тести — форматування дат (іменини) + рядки WA шаблонів,4,4,8,4.7,0.7
QA-04,8. Тестування і QA,Integration тест — POST /api/orders: повний flow від payload до статусу pending_hub,6,10,20,11.0,2.3
QA-05,8. Тестування і QA,Integration тест — Stripe webhook idempotency (повторна доставка не створює другий ордер),6,10,20,11.0,2.3
QA-06,8. Тестування і QA,Integration тест — WhatsApp webhook routing (hub_accept / hub_reject / courier_accept),4,8,16,8.7,2.0
QA-07,8. Тестування і QA,E2E Playwright — checkout → Stripe → Hub WA → Hub Dashboard → Courier broadcast → фото → delivered,8,16,24,16.0,2.7
DEP-01,9. Деплой та запуск,Vercel: підключити репозиторій + налаштувати всі ENV vars (production),4,6,12,6.7,1.3
DEP-02,9. Деплой та запуск,Домен kissmyflowers.bg → DNS записи → Vercel + SSL автоматично,4,4,8,4.7,0.7
DEP-03,9. Деплой та запуск,Supabase production проект (окремий від dev) + застосувати всі 10 міграцій,4,8,16,8.7,2.0
DEP-04,9. Деплой та запуск,Meta Business: реєстрація + подача 8 WhatsApp шаблонів на approval (24-48 год),4,8,20,9.3,2.7
DEP-05,9. Деплой та запуск,Stripe: переключення з test keys на live keys + оновлення webhook endpoint,4,4,6,4.3,0.3
DEP-06,9. Деплой та запуск,Google Business Profile: реєстрація та верифікація (Бургас локальний SEO),4,4,6,4.3,0.3
DEP-07,9. Деплой та запуск,Go-live checklist: пройти всі 7 воріт + E2E smoke test на staging,4,8,16,8.7,2.0
,,,,,,,
ПІДСУМОК PER PHASE,,,,,,,,
Фаза 1 — Ініціалізація (8 задач),,,,,,53.1,,
Фаза 2 — Клієнтська частина (21 задача),,,,,,134.4,,
Фаза 3 — Флорист / Hub (5 задач),,,,,,46.4,,
Фаза 4 — Кур'єр (6 задач),,,,,,48.3,,
Фаза 5 — Адміністратор (9 задач),,,,,,74.8,,
Фаза 6 — AI Агенти (6 задач),,,,,,75.3,,
Фаза 7 — SEO та Юридичні (3 задачі),,,,,,17.7,,
Фаза 8 — Тестування і QA (7 задач),,,,,,63.8,,
Фаза 9 — Деплой та запуск (7 задач),,,,,,46.7,,
ЗАГАЛЬНА ОЦІНКА (72 задачі / user stories),,,,,,560.5,,
В ЛЮДИНО-ДНЯХ (8 год/день),,,,,,70.1,,
В ЛЮДИНО-МІСЯЦЯХ (20 роб.днів/міс),,,,,,3.5,,
