WBS ID,Назва,Рівень,Батьківський WBS,Тип,Пов'язана US,Story Points,Статус
1.8,Безпека,2,1,Phase,,8,✅ Done
1.8.1,PIN-аутентифікація (crypto.timingSafeEqual),3,1.8,Task,-,2,✅ Done
1.8.2,Rate limiter: 5 спроб / 15 хвилин,3,1.8,Task,-,2,✅ Done
1.8.3,Middleware: захист /admin/* та /hub/*,3,1.8,Task,-,2,✅ Done
1.8.4,CRON_SECRET на всіх cron-ендпоінтах,3,1.8,Task,-,1,✅ Done
1.8.5,Stripe webhook HMAC-верифікація,3,1.8,Task,-,1,✅ Done
1.9,Тестування та QA,2,1,Phase,,21,✅ Done
1.9.1,Unit тести (Vitest × 16),3,1.9,Task,-,5,✅ Done
1.9.1.1,Тест: isOddFlowerCount (парна/непарна),4,1.9.1,Sub-task,-,1,✅ Done
1.9.1.2,Тест: EUR↔BGN конвертація (курс 1.95583),4,1.9.1,Sub-task,-,1,✅ Done
1.9.1.3,Тест: Haversine відстань (geo.ts),4,1.9.1,Sub-task,-,1,✅ Done
1.9.1.4,Тест: hub routing logic,4,1.9.1,Sub-task,-,1,✅ Done
1.9.1.5,Тест: рядок форматування дат (іменини),4,1.9.1,Sub-task,-,1,✅ Done
1.9.2,Integration тести,3,1.9,Task,-,8,✅ Done
1.9.2.1,POST /api/orders — повний flow,4,1.9.2,Sub-task,-,3,✅ Done
1.9.2.2,Stripe webhook idempotency,4,1.9.2,Sub-task,-,3,✅ Done
1.9.2.3,WhatsApp webhook routing,4,1.9.2,Sub-task,-,2,✅ Done
1.9.3,E2E тест (Playwright): замовлення → доставка,3,1.9,Story,-,8,⏳ Pending
1.9.4,GitHub Actions CI (tsc + vitest + next build),3,1.9,Task,-,3,✅ Done
1.10,SEO та юридичні сторінки,2,1,Phase,,5,✅ Done
1.10.1,Метадані + Open Graph + Schema.org,3,1.10,Task,-,2,✅ Done
1.10.2,Sitemap.xml + robots.txt,3,1.10,Task,-,1,✅ Done
1.10.3,Сторінки: Privacy Policy / Terms / Cookies (GDPR),3,1.10,Task,-,2,✅ Done
1.11,Деплой та запуск,2,1,Phase,,15,❌ Todo
1.11.1,Vercel: підключити репозиторій + ENV vars,3,1.11,Task,-,2,❌ Todo
1.11.2,Домен kissmyflowers.bg → DNS → Vercel,3,1.11,Task,-,2,❌ Todo
1.11.3,Supabase: production проект + всі 10 міграцій,3,1.11,Task,-,3,❌ Todo
1.11.4,Meta Business: реєстрація + 8 WhatsApp шаблонів,3,1.11,Task,-,3,❌ Todo
1.11.5,Stripe: перехід з test на live ключі,3,1.11,Task,-,2,❌ Todo
1.11.6,Google Business Profile (Бургас SEO),3,1.11,Task,-,1,❌ Todo
1.11.7,Go-live checklist та E2E на staging,3,1.11,Task,-,2,❌ Todo
